id,day,session_block,sequence,presenter,title,role,source_file,start,end,output_vtt,output_txt,notes,divergence
2026-03-03-Stage-1-Morning-Opening-Offensive-AI-01-Gadi-Evron-Opening-Words,2026-03-03,Stage 1 Morning Opening Offensive AI,1,Gadi Evron,Opening Words,host,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\vtt\2026-03-03T152703Z__86148219374__dr-at-secwest.net__Stage-1-Morning-Opening-Offensive-AI__audio_transcript__ecc892c1-6d9d-4107-96ef-5c900556cbbc.vtt,00:00:01.000,00:11:14.000,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\vtt\2026-03-03__Stage-1-Morning-Opening-Offensiv__01__Gadi-Evron__Opening-Words__host.vtt,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\txt\2026-03-03__Stage-1-Morning-Opening-Offensiv__01__Gadi-Evron__Opening-Words__host.txt,Conference welcome and framing for day one.,
2026-03-03-Stage-1-Morning-Opening-Offensive-AI-02-Heather-Adkins-and-Four-Flynn-Evaluating-Threats-Automating-Defense-How-Googl,2026-03-03,Stage 1 Morning Opening Offensive AI,2,Heather Adkins and Four Flynn,Evaluating Threats & Automating Defense: How Google is Advancing Code Security,presenter,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\vtt\2026-03-03T152703Z__86148219374__dr-at-secwest.net__Stage-1-Morning-Opening-Offensive-AI__audio_transcript__ecc892c1-6d9d-4107-96ef-5c900556cbbc.vtt,00:15:37.000,00:35:17.000,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\vtt\2026-03-03__Stage-1-Morning-Opening-Offensiv__02__Heather-Adkins-and-Four-Flynn__Evaluating-Threats-Automating-Defense-How-Google__presenter.vtt,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\txt\2026-03-03__Stage-1-Morning-Opening-Offensiv__02__Heather-Adkins-and-Four-Flynn__Evaluating-Threats-Automating-Defense-How-Google__presenter.txt,Google / DeepMind talk.,
2026-03-03-Stage-1-Morning-Opening-Offensive-AI-03-Joshua-Saxe-The-Hard-Part-Isn-t-Building-the-Agent-On-Measuring-Agent-Effecti,2026-03-03,Stage 1 Morning Opening Offensive AI,3,Joshua Saxe,The Hard Part Isn't Building the Agent: On Measuring Agent Effectiveness,presenter,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\vtt\2026-03-03T152703Z__86148219374__dr-at-secwest.net__Stage-1-Morning-Opening-Offensive-AI__audio_transcript__ecc892c1-6d9d-4107-96ef-5c900556cbbc.vtt,00:44:09.000,01:07:17.000,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\vtt\2026-03-03__Stage-1-Morning-Opening-Offensiv__03__Joshua-Saxe__The-Hard-Part-Isn-t-Building-the-Agent-On-Measur__presenter.vtt,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\txt\2026-03-03__Stage-1-Morning-Opening-Offensiv__03__Joshua-Saxe__The-Hard-Part-Isn-t-Building-the-Agent-On-Measur__presenter.txt,,
2026-03-03-Stage-1-Morning-Opening-Offensive-AI-04-Shruti-Datta-Gupta-and-Chandrani-Security-Guidance-as-a-Service-Building-an-A,2026-03-03,Stage 1 Morning Opening Offensive AI,4,Shruti Datta Gupta and Chandrani,Security Guidance as a Service: Building an AI-Native Blueprint for Defensive Security,presenter,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\vtt\2026-03-03T152703Z__86148219374__dr-at-secwest.net__Stage-1-Morning-Opening-Offensive-AI__audio_transcript__ecc892c1-6d9d-4107-96ef-5c900556cbbc.vtt,01:07:53.000,01:30:16.000,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\vtt\2026-03-03__Stage-1-Morning-Opening-Offensiv__04__Shruti-Datta-Gupta-and-Chandrani__Security-Guidance-as-a-Service-Building-an-AI-Na__presenter.vtt,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\txt\2026-03-03__Stage-1-Morning-Opening-Offensiv__04__Shruti-Datta-Gupta-and-Chandrani__Security-Guidance-as-a-Service-Building-an-AI-Na__presenter.txt,Adobe security guidance talk; second speaker name is incomplete in ASR.,
2026-03-03-Stage-1-Late-Morning-Agents-in-Production-Vulnerability-Discovery-01-Jeffrey-Zhang-and-Sid-Guardrails-beyond-Vibes-Sh,2026-03-03,Stage 1 Late Morning Agents in Production Vulnerability Discovery,1,Jeffrey Zhang and Sid,Guardrails beyond Vibes: Shipping Security Agents in Production,presenter,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\vtt\2026-03-03T184421Z__83826532500__dr-at-secwest.net__Stage-1-Late-Morning-Agents-in-Production-Vulnerability-Discovery__audio_transcript__bc035032-7a2c-4e21-835c-02530b9062c8.vtt,00:03:10.000,00:24:23.000,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\vtt\2026-03-03__Stage-1-Late-Morning-Agents-in-P__01__Jeffrey-Zhang-and-Sid__Guardrails-beyond-Vibes-Shipping-Security-Agents__presenter.vtt,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\txt\2026-03-03__Stage-1-Late-Morning-Agents-in-P__01__Jeffrey-Zhang-and-Sid__Guardrails-beyond-Vibes-Shipping-Security-Agents__presenter.txt,,This talk appears in the late-morning recording even though it was listed in the morning block.
2026-03-03-Stage-1-Late-Morning-Agents-in-Production-Vulnerability-Discovery-02-Paul-McMillan-and-Ryan-Lopopolo-Code-Is-Free-Sec,2026-03-03,Stage 1 Late Morning Agents in Production Vulnerability Discovery,2,Paul McMillan and Ryan Lopopolo,Code Is Free: Securing Software in the Agentic Future,presenter,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\vtt\2026-03-03T184421Z__83826532500__dr-at-secwest.net__Stage-1-Late-Morning-Agents-in-Production-Vulnerability-Discovery__audio_transcript__bc035032-7a2c-4e21-835c-02530b9062c8.vtt,00:27:13.000,00:52:00.000,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\vtt\2026-03-03__Stage-1-Late-Morning-Agents-in-P__02__Paul-McMillan-and-Ryan-Lopopolo__Code-Is-Free-Securing-Software-in-the-Agentic-Fu__presenter.vtt,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\txt\2026-03-03__Stage-1-Late-Morning-Agents-in-P__02__Paul-McMillan-and-Ryan-Lopopolo__Code-Is-Free-Securing-Software-in-the-Agentic-Fu__presenter.txt,,
2026-03-03-Stage-1-Late-Morning-Agents-in-Production-Vulnerability-Discovery-03-Brendan-Dolan-Gavitt-and-Vincent-Olson-AI-Agents,2026-03-03,Stage 1 Late Morning Agents in Production Vulnerability Discovery,3,Brendan Dolan-Gavitt and Vincent Olson,AI Agents for Exploiting Auth-by-One Errors,presenter,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\vtt\2026-03-03T184421Z__83826532500__dr-at-secwest.net__Stage-1-Late-Morning-Agents-in-Production-Vulnerability-Discovery__audio_transcript__bc035032-7a2c-4e21-835c-02530b9062c8.vtt,00:52:39.000,01:10:56.000,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\vtt\2026-03-03__Stage-1-Late-Morning-Agents-in-P__03__Brendan-Dolan-Gavitt-and-Vincent-Olson__AI-Agents-for-Exploiting-Auth-by-One-Errors__presenter.vtt,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\txt\2026-03-03__Stage-1-Late-Morning-Agents-in-P__03__Brendan-Dolan-Gavitt-and-Vincent-Olson__AI-Agents-for-Exploiting-Auth-by-One-Errors__presenter.txt,,
2026-03-03-Stage-1-Late-Morning-Agents-in-Production-Vulnerability-Discovery-04-Waris-Gill-and-Natalie-Isak-Developing-Deploying,2026-03-03,Stage 1 Late Morning Agents in Production Vulnerability Discovery,4,Waris Gill and Natalie Isak,Developing & Deploying AI Fingerprints for Advanced Threat Detection,presenter,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\vtt\2026-03-03T184421Z__83826532500__dr-at-secwest.net__Stage-1-Late-Morning-Agents-in-Production-Vulnerability-Discovery__audio_transcript__bc035032-7a2c-4e21-835c-02530b9062c8.vtt,01:12:16.000,01:31:01.000,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\vtt\2026-03-03__Stage-1-Late-Morning-Agents-in-P__04__Waris-Gill-and-Natalie-Isak__Developing-Deploying-AI-Fingerprints-for-Advance__presenter.vtt,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\txt\2026-03-03__Stage-1-Late-Morning-Agents-in-P__04__Waris-Gill-and-Natalie-Isak__Developing-Deploying-AI-Fingerprints-for-Advance__presenter.txt,BinaryShield talk; Matthew Dressman is not clearly audible in the transcript.,
2026-03-03-Stage-1-Early-Afternoon-Attack-Surface-Browser-Exploitation-AI-Notetakers-01-Sean-Park-When-Passports-Execute-Exploit,2026-03-03,Stage 1 Early Afternoon Attack Surface Browser Exploitation AI Notetakers,1,Sean Park,When Passports Execute: Exploiting AI-Driven KYC Pipelines,presenter,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\vtt\2026-03-03T204939Z__83377163171__dr-at-secwest.net__Stage-1-Early-Afternoon-Attack-Surface-Browser-Exploitation-AI-Notetakers__audio_transcript__6e9e8de3-483f-4e65-8370-3098c4f706c4.vtt,00:00:00.000,00:13:13.000,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\vtt\2026-03-03__Stage-1-Early-Afternoon-Attack-S__01__Sean-Park__When-Passports-Execute-Exploiting-AI-Driven-KYC__presenter.vtt,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\txt\2026-03-03__Stage-1-Early-Afternoon-Attack-S__01__Sean-Park__When-Passports-Execute-Exploiting-AI-Driven-KYC__presenter.txt,"The file starts mid-talk, so the opening of Sean's presentation is clipped.",Sean Park's talk begins in this file rather than the prior late-morning file.
2026-03-03-Stage-1-Early-Afternoon-Attack-Surface-Browser-Exploitation-AI-Notetakers-02-Peter-Girnus-FENRIR-AI-Hunting-for-AI-Ze,2026-03-03,Stage 1 Early Afternoon Attack Surface Browser Exploitation AI Notetakers,2,Peter Girnus,FENRIR: AI Hunting for AI Zero-Days at Scale,presenter,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\vtt\2026-03-03T204939Z__83377163171__dr-at-secwest.net__Stage-1-Early-Afternoon-Attack-Surface-Browser-Exploitation-AI-Notetakers__audio_transcript__6e9e8de3-483f-4e65-8370-3098c4f706c4.vtt,00:13:50.000,00:34:46.000,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\vtt\2026-03-03__Stage-1-Early-Afternoon-Attack-S__02__Peter-Girnus__FENRIR-AI-Hunting-for-AI-Zero-Days-at-Scale__presenter.vtt,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\txt\2026-03-03__Stage-1-Early-Afternoon-Attack-S__02__Peter-Girnus__FENRIR-AI-Hunting-for-AI-Zero-Days-at-Scale__presenter.txt,,
2026-03-03-Stage-1-Early-Afternoon-Attack-Surface-Browser-Exploitation-AI-Notetakers-03-Joe-Sullivan-AI-Notetakers-The-Most-Impo,2026-03-03,Stage 1 Early Afternoon Attack Surface Browser Exploitation AI Notetakers,3,Joe Sullivan,AI Notetakers: The Most Important Person in the Room,presenter,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\vtt\2026-03-03T204939Z__83377163171__dr-at-secwest.net__Stage-1-Early-Afternoon-Attack-Surface-Browser-Exploitation-AI-Notetakers__audio_transcript__6e9e8de3-483f-4e65-8370-3098c4f706c4.vtt,00:36:05.000,00:55:31.000,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\vtt\2026-03-03__Stage-1-Early-Afternoon-Attack-S__03__Joe-Sullivan__AI-Notetakers-The-Most-Important-Person-in-the-R__presenter.vtt,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\txt\2026-03-03__Stage-1-Early-Afternoon-Attack-S__03__Joe-Sullivan__AI-Notetakers-The-Most-Important-Person-in-the-R__presenter.txt,,
2026-03-03-Stage-1-Late-Afternoon-Hardware-Hacking-Post-Training-LLM-Threats-01-Adam-Laurie-AI-go-Beep-Boop,2026-03-03,Stage 1 Late Afternoon Hardware Hacking Post-Training LLM Threats,1,Adam Laurie,AI go Beep Boop!,presenter,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\vtt\2026-03-03T224142Z__84095825429__dr-at-secwest.net__Stage-1-Late-Afternoon-Hardware-Hacking-Post-Training-LLM-Threats__audio_transcript__0bab1277-dfd8-4d45-9f47-80c8658c097a.vtt,00:01:00.000,00:27:32.000,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\vtt\2026-03-03__Stage-1-Late-Afternoon-Hardware__01__Adam-Laurie__AI-go-Beep-Boop__presenter.vtt,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\txt\2026-03-03__Stage-1-Late-Afternoon-Hardware__01__Adam-Laurie__AI-go-Beep-Boop__presenter.txt,,Adam Laurie's talk appears in the late-afternoon file rather than the prior early-afternoon file.
2026-03-03-Stage-1-Late-Afternoon-Hardware-Hacking-Post-Training-LLM-Threats-02-Gadi-Evron-Post-Adam-host-remarks-and-Rami-McCar,2026-03-03,Stage 1 Late Afternoon Hardware Hacking Post-Training LLM Threats,2,Gadi Evron,Post-Adam host remarks and Rami McCarthy intro,host,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\vtt\2026-03-03T224142Z__84095825429__dr-at-secwest.net__Stage-1-Late-Afternoon-Hardware-Hacking-Post-Training-LLM-Threats__audio_transcript__0bab1277-dfd8-4d45-9f47-80c8658c097a.vtt,00:27:32.000,00:30:32.000,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\vtt\2026-03-03__Stage-1-Late-Afternoon-Hardware__02__Gadi-Evron__Post-Adam-host-remarks-and-Rami-McCarthy-intro__host.vtt,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\txt\2026-03-03__Stage-1-Late-Afternoon-Hardware__02__Gadi-Evron__Post-Adam-host-remarks-and-Rami-McCarthy-intro__host.txt,Separated because the user asked for Gadi's host comments to be split out.,
2026-03-03-Stage-1-Late-Afternoon-Hardware-Hacking-Post-Training-LLM-Threats-03-Rami-McCarthy-Zeal-of-the-Convert-Taming-Shai-Hu,2026-03-03,Stage 1 Late Afternoon Hardware Hacking Post-Training LLM Threats,3,Rami McCarthy,Zeal of the Convert: Taming Shai-Hulud with AI,presenter,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\vtt\2026-03-03T224142Z__84095825429__dr-at-secwest.net__Stage-1-Late-Afternoon-Hardware-Hacking-Post-Training-LLM-Threats__audio_transcript__0bab1277-dfd8-4d45-9f47-80c8658c097a.vtt,00:30:35.000,00:53:56.000,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\vtt\2026-03-03__Stage-1-Late-Afternoon-Hardware__03__Rami-McCarthy__Zeal-of-the-Convert-Taming-Shai-Hulud-with-AI__presenter.vtt,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\txt\2026-03-03__Stage-1-Late-Afternoon-Hardware__03__Rami-McCarthy__Zeal-of-the-Convert-Taming-Shai-Hulud-with-AI__presenter.txt,,
2026-03-03-Stage-1-Late-Afternoon-Hardware-Hacking-Post-Training-LLM-Threats-04-Daniel-Miessler-Anatomy-of-an-Agentic-Personal-A,2026-03-03,Stage 1 Late Afternoon Hardware Hacking Post-Training LLM Threats,4,Daniel Miessler,Anatomy of an Agentic Personal AI Infrastructure,presenter,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\vtt\2026-03-03T224142Z__84095825429__dr-at-secwest.net__Stage-1-Late-Afternoon-Hardware-Hacking-Post-Training-LLM-Threats__audio_transcript__0bab1277-dfd8-4d45-9f47-80c8658c097a.vtt,00:54:34.000,01:22:02.000,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\vtt\2026-03-03__Stage-1-Late-Afternoon-Hardware__04__Daniel-Miessler__Anatomy-of-an-Agentic-Personal-AI-Infrastructure__presenter.vtt,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\txt\2026-03-03__Stage-1-Late-Afternoon-Hardware__04__Daniel-Miessler__Anatomy-of-an-Agentic-Personal-AI-Infrastructure__presenter.txt,,Daniel Miessler's talk appears here even though it was missing from the public slide deck list.
2026-03-03-Stage-1-Late-Afternoon-Hardware-Hacking-Post-Training-LLM-Threats-05-Nicholas-Carlini-Black-hat-LLMs,2026-03-03,Stage 1 Late Afternoon Hardware Hacking Post-Training LLM Threats,5,Nicholas Carlini,Black-hat LLMs,presenter,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\vtt\2026-03-03T224142Z__84095825429__dr-at-secwest.net__Stage-1-Late-Afternoon-Hardware-Hacking-Post-Training-LLM-Threats__audio_transcript__0bab1277-dfd8-4d45-9f47-80c8658c097a.vtt,01:22:36.000,01:47:52.000,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\vtt\2026-03-03__Stage-1-Late-Afternoon-Hardware__05__Nicholas-Carlini__Black-hat-LLMs__presenter.vtt,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\txt\2026-03-03__Stage-1-Late-Afternoon-Hardware__05__Nicholas-Carlini__Black-hat-LLMs__presenter.txt,,
2026-03-03-Stage-1-Late-Afternoon-Hardware-Hacking-Post-Training-LLM-Threats-06-Piotr-Ryciak-Vibe-Check-Security-Failures-in-AI,2026-03-03,Stage 1 Late Afternoon Hardware Hacking Post-Training LLM Threats,6,Piotr Ryciak,Vibe Check: Security Failures in AI-Assisted IDEs,presenter,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\vtt\2026-03-03T224142Z__84095825429__dr-at-secwest.net__Stage-1-Late-Afternoon-Hardware-Hacking-Post-Training-LLM-Threats__audio_transcript__0bab1277-dfd8-4d45-9f47-80c8658c097a.vtt,01:48:50.000,02:14:41.000,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\vtt\2026-03-03__Stage-1-Late-Afternoon-Hardware__06__Piotr-Ryciak__Vibe-Check-Security-Failures-in-AI-Assisted-IDEs__presenter.vtt,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\txt\2026-03-03__Stage-1-Late-Afternoon-Hardware__06__Piotr-Ryciak__Vibe-Check-Security-Failures-in-AI-Assisted-IDEs__presenter.txt,,
2026-03-03-Stage-2-Morning-AI-Governance-01-Billy-Norwood-Establishing-AI-Governance-Without-Stifling-Innovation,2026-03-03,Stage 2 Morning AI Governance,1,Billy Norwood,Establishing AI Governance Without Stifling Innovation,presenter,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\vtt\2026-03-03T152817Z__86896161688__dr-at-secwest.net__Stage-2-Morning-AI-Governance__audio_transcript__b43fd2f8-1b2d-4ccb-8e06-53a16996f74d.vtt,00:04:01.000,00:29:21.000,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\vtt\2026-03-03__Stage-2-Morning-AI-Governance__01__Billy-Norwood__Establishing-AI-Governance-Without-Stifling-Inno__presenter.vtt,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\txt\2026-03-03__Stage-2-Morning-AI-Governance__01__Billy-Norwood__Establishing-AI-Governance-Without-Stifling-Inno__presenter.txt,,
